 ,Image_ID,Track,Mother?,Frame,X,Y,Ch1_Mean,Ch2_Mean,Ch3_Mean,Ch4_Mean,Ch5_Mean,Cilia_COMX,Cilia_COMY,Distance_to_Cilia_(um),Length,Feret,Straightness,Kurt,Skew,Angle
30,280316_weekend_xy10.nd2,1a,0,30,223,144,59.2250,28.9750,811.1250,915.8625,0,231,134,12.8062,9.1530,10.2956,1.1248,-0.8653,0.8491,119.0546
31,280316_weekend_xy10.nd2,1a,0,31,216,143,55.9250,32.9375,848.6000,757.7625,0,226,130,16.4012,8.6392,8.6023,0.9957,0.1696,-0.3682,54.4623
32,280316_weekend_xy10.nd2,1a,0,32,216,140,52.5875,40.0375,851.0625,759.8875,0,225,132,12.0416,7.3852,8.5440,1.1569,-0.8138,-0.7206,69.4440
33,280316_weekend_xy10.nd2,1a,0,33,220,144,65.4500,78.6375,939.8250,856.1500,0,226,134,11.6619,10.4842,9.4340,0.8998,0.5485,0.9234,122.0054
34,280316_weekend_xy10.nd2,1a,0,34,215,143,95.9750,172.6500,920.5875,847.0500,0,225,135,12.8062,8.4721,8.6023,1.0154,-1.4611,-0.2682,54.4623
35,280316_weekend_xy10.nd2,1a,0,35,215,144,72.2250,304.2875,929.2750,694.5875,0,225,136,12.8062,8.9443,9.8995,1.1068,-1.2899,-0.3343,45.0000
36,280316_weekend_xy10.nd2,1a,0,36,215,139,61.7125,499.7500,918.5250,874.4250,0,227,134,13.0000,5.8416,6.3246,1.0827,-1.6079,0.2176,71.5651
37,280316_weekend_xy10.nd2,1a,0,37,215,142,74.1000,554.7750,685.4375,731.9125,0,227,135,13.8924,6.3246,7.0711,1.1180,0.0250,0.9110,98.1301
38,280316_weekend_xy10.nd2,1a,0,38,215,139,69.2500,825.0750,449.6875,821.5125,0,225,135,10.7703,9.2426,8.0623,0.8723,-1.4030,0.1035,97.1250
39,280316_weekend_xy10.nd2,1a,0,39,216,143,60.4250,921.1625,299.3000,803.9750,0,225,133,13.4536,7.2111,8.6023,1.1929,-1.3391,-0.4157,54.4623
